Indicator,Countryname,Year,Zone,Area En,Area Sp,Countrycode,Countryname Sp,Date,Indicator Sp,Series,Upi,Circa,count,Country,Number of Records,Rate
Gini coefficient,Dominican Republic,2002,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini,3,WB569452,9999,1,214,1,0.496775186
Rate 90/10,Dominican Republic,2002,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 90/10,3,WB569452,9999,1,214,1,10.129226214
Rate 75/25,Dominican Republic,2002,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 75/25,3,WB569452,9999,1,214,1,3.214285562
"Generalized entropy, GE(-1)",Dominican Republic,2002,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(-1)",3,WB569452,9999,1,214,1,0.737523280
"Mean log deviation, GE(0)",Dominican Republic,2002,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Mean log deviation, GE(0)",3,WB569452,9999,1,214,1,0.446025343
"Theil index, GE(1)",Dominican Republic,2002,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de Theil, GE(1)",3,WB569452,9999,1,214,1,0.471496707
"Generalized entropy, GE(2)",Dominican Republic,2002,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(2)",3,WB569452,9999,1,214,1,0.874843173
"Atkinson, A(0.5)",Dominican Republic,2002,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(0.5)",3,WB569452,9999,1,214,1,0.203704715
"Atkinson, A(1)",Dominican Republic,2002,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(1)",3,WB569452,9999,1,214,1,0.359832452
"Atkinson, A(2)",Dominican Republic,2002,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(2)",3,WB569452,9999,1,214,1,0.595967197
Gini coefficient (no zero income),Dominican Republic,2002,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini (ingreso mayor a zero),3,WB569452,9999,1,214,1,0.495796621
Gini coefficient,Dominican Republic,2003,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini,3,WB569452,9999,1,214,1,0.521272910
Rate 90/10,Dominican Republic,2003,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 90/10,3,WB569452,9999,1,214,1,9.845103910
Rate 75/25,Dominican Republic,2003,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 75/25,3,WB569452,9999,1,214,1,3.138294813
"Generalized entropy, GE(-1)",Dominican Republic,2003,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(-1)",3,WB569452,9999,1,214,1,0.759100850
"Mean log deviation, GE(0)",Dominican Republic,2003,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Mean log deviation, GE(0)",3,WB569452,9999,1,214,1,0.483070417
"Theil index, GE(1)",Dominican Republic,2003,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de Theil, GE(1)",3,WB569452,9999,1,214,1,0.552258380
"Generalized entropy, GE(2)",Dominican Republic,2003,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(2)",3,WB569452,9999,1,214,1,1.202750752
"Atkinson, A(0.5)",Dominican Republic,2003,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(0.5)",3,WB569452,9999,1,214,1,0.226431733
"Atkinson, A(1)",Dominican Republic,2003,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(1)",3,WB569452,9999,1,214,1,0.383113617
"Atkinson, A(2)",Dominican Republic,2003,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(2)",3,WB569452,9999,1,214,1,0.602891222
Gini coefficient (no zero income),Dominican Republic,2003,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini (ingreso mayor a zero),3,WB569452,9999,1,214,1,0.520339665
Gini coefficient,Dominican Republic,2004,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini,3,WB569452,9999,1,214,1,0.520562049
Rate 90/10,Dominican Republic,2004,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 90/10,3,WB569452,9999,1,214,1,9.605220806
Rate 75/25,Dominican Republic,2004,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 75/25,3,WB569452,9999,1,214,1,3.158620459
"Generalized entropy, GE(-1)",Dominican Republic,2004,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(-1)",3,WB569452,9999,1,214,1,0.794723636
"Mean log deviation, GE(0)",Dominican Republic,2004,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Mean log deviation, GE(0)",3,WB569452,9999,1,214,1,0.479608043
"Theil index, GE(1)",Dominican Republic,2004,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de Theil, GE(1)",3,WB569452,9999,1,214,1,0.576993013
"Generalized entropy, GE(2)",Dominican Republic,2004,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(2)",3,WB569452,9999,1,214,1,1.767902189
"Atkinson, A(0.5)",Dominican Republic,2004,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(0.5)",3,WB569452,9999,1,214,1,0.228147984
"Atkinson, A(1)",Dominican Republic,2004,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(1)",3,WB569452,9999,1,214,1,0.380974024
"Atkinson, A(2)",Dominican Republic,2004,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(2)",3,WB569452,9999,1,214,1,0.613817199
Gini coefficient (no zero income),Dominican Republic,2004,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini (ingreso mayor a zero),3,WB569452,9999,1,214,1,0.519942306
Gini coefficient,Dominican Republic,2005,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini,2,WB569452,9999,1,214,1,0.499682091
Rate 90/10,Dominican Republic,2005,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 90/10,2,WB569452,9999,1,214,1,9.899153832
Rate 75/25,Dominican Republic,2005,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 75/25,2,WB569452,9999,1,214,1,3.114703999
"Generalized entropy, GE(-1)",Dominican Republic,2005,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(-1)",2,WB569452,9999,1,214,1,0.667787790
"Mean log deviation, GE(0)",Dominican Republic,2005,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Mean log deviation, GE(0)",2,WB569452,9999,1,214,1,0.439889958
"Theil index, GE(1)",Dominican Republic,2005,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de Theil, GE(1)",2,WB569452,9999,1,214,1,0.493470578
"Generalized entropy, GE(2)",Dominican Republic,2005,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(2)",2,WB569452,9999,1,214,1,1.096821209
"Atkinson, A(0.5)",Dominican Republic,2005,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(0.5)",2,WB569452,9999,1,214,1,0.206419579
"Atkinson, A(1)",Dominican Republic,2005,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(1)",2,WB569452,9999,1,214,1,0.355892704
"Atkinson, A(2)",Dominican Republic,2005,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(2)",2,WB569452,9999,1,214,1,0.571840017
Gini coefficient (no zero income),Dominican Republic,2005,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini (ingreso mayor a zero),2,WB569452,9999,1,214,1,0.499292645
Gini coefficient,Dominican Republic,2006,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini,2,WB569452,9999,1,214,1,0.519631030
Rate 90/10,Dominican Republic,2006,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 90/10,2,WB569452,9999,1,214,1,9.863647940
Rate 75/25,Dominican Republic,2006,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 75/25,2,WB569452,9999,1,214,1,3.222392859
"Generalized entropy, GE(-1)",Dominican Republic,2006,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(-1)",2,WB569452,9999,1,214,1,0.709700366
"Mean log deviation, GE(0)",Dominican Republic,2006,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Mean log deviation, GE(0)",2,WB569452,9999,1,214,1,0.476405983
"Theil index, GE(1)",Dominican Republic,2006,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de Theil, GE(1)",2,WB569452,9999,1,214,1,0.562681686
"Generalized entropy, GE(2)",Dominican Republic,2006,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(2)",2,WB569452,9999,1,214,1,1.409031433
"Atkinson, A(0.5)",Dominican Republic,2006,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(0.5)",2,WB569452,9999,1,214,1,0.226171408
"Atkinson, A(1)",Dominican Republic,2006,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(1)",2,WB569452,9999,1,214,1,0.378988689
"Atkinson, A(2)",Dominican Republic,2006,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(2)",2,WB569452,9999,1,214,1,0.586674507
Gini coefficient (no zero income),Dominican Republic,2006,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini (ingreso mayor a zero),2,WB569452,9999,1,214,1,0.519367854
Gini coefficient,Dominican Republic,2007,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini,2,WB569452,9999,1,214,1,0.488593715
Rate 90/10,Dominican Republic,2007,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 90/10,2,WB569452,9999,1,214,1,8.836846037
Rate 75/25,Dominican Republic,2007,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 75/25,2,WB569452,9999,1,214,1,2.992424240
"Generalized entropy, GE(-1)",Dominican Republic,2007,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(-1)",2,WB569452,9999,1,214,1,0.661728989
"Mean log deviation, GE(0)",Dominican Republic,2007,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Mean log deviation, GE(0)",2,WB569452,9999,1,214,1,0.417145989
"Theil index, GE(1)",Dominican Republic,2007,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de Theil, GE(1)",2,WB569452,9999,1,214,1,0.465962719
"Generalized entropy, GE(2)",Dominican Republic,2007,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(2)",2,WB569452,9999,1,214,1,0.920127148
"Atkinson, A(0.5)",Dominican Republic,2007,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(0.5)",2,WB569452,9999,1,214,1,0.196942575
"Atkinson, A(1)",Dominican Republic,2007,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(1)",2,WB569452,9999,1,214,1,0.341075283
"Atkinson, A(2)",Dominican Republic,2007,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(2)",2,WB569452,9999,1,214,1,0.569607021
Gini coefficient (no zero income),Dominican Republic,2007,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini (ingreso mayor a zero),2,WB569452,9999,1,214,1,0.488095561
Gini coefficient,Dominican Republic,2008,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini,2,WB569452,2008,1,214,1,0.481091691
Rate 90/10,Dominican Republic,2008,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 90/10,2,WB569452,2008,1,214,1,8.139129745
Rate 75/25,Dominican Republic,2008,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 75/25,2,WB569452,2008,1,214,1,3.009872247
"Generalized entropy, GE(-1)",Dominican Republic,2008,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(-1)",2,WB569452,2008,1,214,1,0.545633853
"Mean log deviation, GE(0)",Dominican Republic,2008,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Mean log deviation, GE(0)",2,WB569452,2008,1,214,1,0.399913916
"Theil index, GE(1)",Dominican Republic,2008,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de Theil, GE(1)",2,WB569452,2008,1,214,1,0.451193026
"Generalized entropy, GE(2)",Dominican Republic,2008,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(2)",2,WB569452,2008,1,214,1,0.866084358
"Atkinson, A(0.5)",Dominican Republic,2008,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(0.5)",2,WB569452,2008,1,214,1,0.190771743
"Atkinson, A(1)",Dominican Republic,2008,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(1)",2,WB569452,2008,1,214,1,0.329622248
"Atkinson, A(2)",Dominican Republic,2008,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(2)",2,WB569452,2008,1,214,1,0.521821144
Gini coefficient (no zero income),Dominican Republic,2008,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini (ingreso mayor a zero),2,WB569452,2008,1,214,1,0.480815829
Gini coefficient,Dominican Republic,2009,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini,2,WB569452,9999,1,214,1,0.488758413
Rate 90/10,Dominican Republic,2009,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 90/10,2,WB569452,9999,1,214,1,8.592706021
Rate 75/25,Dominican Republic,2009,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 75/25,2,WB569452,9999,1,214,1,2.966948355
"Generalized entropy, GE(-1)",Dominican Republic,2009,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(-1)",2,WB569452,9999,1,214,1,0.567744436
"Mean log deviation, GE(0)",Dominican Republic,2009,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Mean log deviation, GE(0)",2,WB569452,9999,1,214,1,0.413395077
"Theil index, GE(1)",Dominican Republic,2009,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de Theil, GE(1)",2,WB569452,9999,1,214,1,0.467867490
"Generalized entropy, GE(2)",Dominican Republic,2009,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(2)",2,WB569452,9999,1,214,1,0.997840538
"Atkinson, A(0.5)",Dominican Republic,2009,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(0.5)",2,WB569452,9999,1,214,1,0.196735656
"Atkinson, A(1)",Dominican Republic,2009,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(1)",2,WB569452,9999,1,214,1,0.338599073
"Atkinson, A(2)",Dominican Republic,2009,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(2)",2,WB569452,9999,1,214,1,0.531723151
Gini coefficient (no zero income),Dominican Republic,2009,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini (ingreso mayor a zero),2,WB569452,9999,1,214,1,0.488724979
Gini coefficient,Dominican Republic,2010,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini,2,WB569452,9999,1,214,1,0.473265992
Rate 90/10,Dominican Republic,2010,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 90/10,2,WB569452,9999,1,214,1,8.733119143
Rate 75/25,Dominican Republic,2010,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 75/25,2,WB569452,9999,1,214,1,3.044035562
"Generalized entropy, GE(-1)",Dominican Republic,2010,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(-1)",2,WB569452,9999,1,214,1,0.525199580
"Mean log deviation, GE(0)",Dominican Republic,2010,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Mean log deviation, GE(0)",2,WB569452,9999,1,214,1,0.384638569
"Theil index, GE(1)",Dominican Republic,2010,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de Theil, GE(1)",2,WB569452,9999,1,214,1,0.410608364
"Generalized entropy, GE(2)",Dominican Republic,2010,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(2)",2,WB569452,9999,1,214,1,0.657448384
"Atkinson, A(0.5)",Dominican Republic,2010,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(0.5)",2,WB569452,9999,1,214,1,0.180727098
"Atkinson, A(1)",Dominican Republic,2010,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(1)",2,WB569452,9999,1,214,1,0.319303384
"Atkinson, A(2)",Dominican Republic,2010,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(2)",2,WB569452,9999,1,214,1,0.512290085
Gini coefficient (no zero income),Dominican Republic,2010,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini (ingreso mayor a zero),2,WB569452,9999,1,214,1,0.473141271
Gini coefficient,Dominican Republic,2011,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini,2,WB569452,9999,1,214,1,0.477069050
Rate 90/10,Dominican Republic,2011,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 90/10,2,WB569452,9999,1,214,1,7.833333199
Rate 75/25,Dominican Republic,2011,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 75/25,2,WB569452,9999,1,214,1,3.017242268
"Generalized entropy, GE(-1)",Dominican Republic,2011,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(-1)",2,WB569452,9999,1,214,1,0.538993814
"Mean log deviation, GE(0)",Dominican Republic,2011,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Mean log deviation, GE(0)",2,WB569452,9999,1,214,1,0.392862072
"Theil index, GE(1)",Dominican Republic,2011,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de Theil, GE(1)",2,WB569452,9999,1,214,1,0.438358145
"Generalized entropy, GE(2)",Dominican Republic,2011,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(2)",2,WB569452,9999,1,214,1,0.803620519
"Atkinson, A(0.5)",Dominican Republic,2011,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(0.5)",2,WB569452,9999,1,214,1,0.187033566
"Atkinson, A(1)",Dominican Republic,2011,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(1)",2,WB569452,9999,1,214,1,0.324878141
"Atkinson, A(2)",Dominican Republic,2011,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(2)",2,WB569452,9999,1,214,1,0.518765181
Gini coefficient (no zero income),Dominican Republic,2011,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini (ingreso mayor a zero),2,WB569452,9999,1,214,1,0.477069050
Gini coefficient,Dominican Republic,2012,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini,2,WB569452,9999,1,214,1,0.461337530
Rate 90/10,Dominican Republic,2012,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 90/10,2,WB569452,9999,1,214,1,7.691085134
Rate 75/25,Dominican Republic,2012,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 75/25,2,WB569452,9999,1,214,1,2.825169317
"Generalized entropy, GE(-1)",Dominican Republic,2012,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(-1)",2,WB569452,9999,1,214,1,0.502532339
"Mean log deviation, GE(0)",Dominican Republic,2012,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Mean log deviation, GE(0)",2,WB569452,9999,1,214,1,0.365968229
"Theil index, GE(1)",Dominican Republic,2012,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de Theil, GE(1)",2,WB569452,9999,1,214,1,0.397897825
"Generalized entropy, GE(2)",Dominican Republic,2012,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(2)",2,WB569452,9999,1,214,1,0.647891641
"Atkinson, A(0.5)",Dominican Republic,2012,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(0.5)",2,WB569452,9999,1,214,1,0.173741062
"Atkinson, A(1)",Dominican Republic,2012,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(1)",2,WB569452,9999,1,214,1,0.306475165
"Atkinson, A(2)",Dominican Republic,2012,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(2)",2,WB569452,9999,1,214,1,0.501262971
Gini coefficient (no zero income),Dominican Republic,2012,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini (ingreso mayor a zero),2,WB569452,9999,1,214,1,0.461337530
Gini coefficient,Dominican Republic,2013,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini,2,WB569452,2013,1,214,1,0.476563934
Rate 90/10,Dominican Republic,2013,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 90/10,2,WB569452,2013,1,214,1,7.851824637
Rate 75/25,Dominican Republic,2013,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 75/25,2,WB569452,2013,1,214,1,2.827651675
"Generalized entropy, GE(-1)",Dominican Republic,2013,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(-1)",2,WB569452,2013,1,214,1,0.509253810
"Mean log deviation, GE(0)",Dominican Republic,2013,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Mean log deviation, GE(0)",2,WB569452,2013,1,214,1,0.388132136
"Theil index, GE(1)",Dominican Republic,2013,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de Theil, GE(1)",2,WB569452,2013,1,214,1,0.440170756
"Generalized entropy, GE(2)",Dominican Republic,2013,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(2)",2,WB569452,2013,1,214,1,0.810076790
"Atkinson, A(0.5)",Dominican Republic,2013,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(0.5)",2,WB569452,2013,1,214,1,0.186612021
"Atkinson, A(1)",Dominican Republic,2013,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(1)",2,WB569452,2013,1,214,1,0.321677294
"Atkinson, A(2)",Dominican Republic,2013,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(2)",2,WB569452,2013,1,214,1,0.504584481
Gini coefficient (no zero income),Dominican Republic,2013,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini (ingreso mayor a zero),2,WB569452,2013,1,214,1,0.476563934
Gini coefficient,Dominican Republic,2014,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini,2,WB569452,9999,1,214,1,0.442800319
Rate 90/10,Dominican Republic,2014,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 90/10,2,WB569452,9999,1,214,1,7.824697106
Rate 75/25,Dominican Republic,2014,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 75/25,2,WB569452,9999,1,214,1,2.901235293
"Generalized entropy, GE(-1)",Dominican Republic,2014,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(-1)",2,WB569452,9999,1,214,1,0.476844777
"Mean log deviation, GE(0)",Dominican Republic,2014,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Mean log deviation, GE(0)",2,WB569452,9999,1,214,1,0.337442632
"Theil index, GE(1)",Dominican Republic,2014,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de Theil, GE(1)",2,WB569452,9999,1,214,1,0.345801683
"Generalized entropy, GE(2)",Dominican Republic,2014,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(2)",2,WB569452,9999,1,214,1,0.497291298
"Atkinson, A(0.5)",Dominican Republic,2014,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(0.5)",2,WB569452,9999,1,214,1,0.157305330
"Atkinson, A(1)",Dominican Republic,2014,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(1)",2,WB569452,9999,1,214,1,0.286407089
"Atkinson, A(2)",Dominican Republic,2014,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(2)",2,WB569452,9999,1,214,1,0.488147952
Gini coefficient (no zero income),Dominican Republic,2014,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini (ingreso mayor a zero),2,WB569452,9999,1,214,1,0.442710882
Gini coefficient,Dominican Republic,2015,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini,2,WB569452,9999,1,214,1,0.451816365
Rate 90/10,Dominican Republic,2015,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 90/10,2,WB569452,9999,1,214,1,7.790608489
Rate 75/25,Dominican Republic,2015,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 75/25,2,WB569452,9999,1,214,1,2.799936654
"Generalized entropy, GE(-1)",Dominican Republic,2015,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(-1)",2,WB569452,9999,1,214,1,0.520768611
"Mean log deviation, GE(0)",Dominican Republic,2015,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Mean log deviation, GE(0)",2,WB569452,9999,1,214,1,0.353614379
"Theil index, GE(1)",Dominican Republic,2015,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de Theil, GE(1)",2,WB569452,9999,1,214,1,0.388242377
"Generalized entropy, GE(2)",Dominican Republic,2015,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(2)",2,WB569452,9999,1,214,1,0.703417676
"Atkinson, A(0.5)",Dominican Republic,2015,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(0.5)",2,WB569452,9999,1,214,1,0.168112578
"Atkinson, A(1)",Dominican Republic,2015,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(1)",2,WB569452,9999,1,214,1,0.297854323
"Atkinson, A(2)",Dominican Republic,2015,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(2)",2,WB569452,9999,1,214,1,0.510173026
Gini coefficient (no zero income),Dominican Republic,2015,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini (ingreso mayor a zero),2,WB569452,9999,1,214,1,0.451783321
Gini coefficient,Dominican Republic,2016,National,National,Nacional,DOM,República Dominicana,05 August 2020,Coeficiente Gini,2,WB569452,9999,1,214,1,0.457239170
Rate 90/10,Dominican Republic,2016,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 90/10,2,WB569452,9999,1,214,1,7.929954247
Rate 75/25,Dominican Republic,2016,National,National,Nacional,DOM,República Dominicana,05 August 2020,Razon 75/25,2,WB569452,9999,1,214,1,2.878360065
"Generalized entropy, GE(-1)",Dominican Republic,2016,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(-1)",2,WB569452,9999,1,214,1,0.570330531
"Mean log deviation, GE(0)",Dominican Republic,2016,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Mean log deviation, GE(0)",2,WB569452,9999,1,214,1,0.361973444
"Theil index, GE(1)",Dominican Republic,2016,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de Theil, GE(1)",2,WB569452,9999,1,214,1,0.385954160
"Generalized entropy, GE(2)",Dominican Republic,2016,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Indice de entropia, GE(2)",2,WB569452,9999,1,214,1,0.622773324
"Atkinson, A(0.5)",Dominican Republic,2016,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(0.5)",2,WB569452,9999,1,214,1,0.170225306
"Atkinson, A(1)",Dominican Republic,2016,National,National,Nacional,DOM,República Dominicana,05 August 2020,"Atkinson, A(1)",2,WB569452,9999,1,214,1,0.303699141
