Indicator,Countryname,Year,Zone,Area En,Area Sp,Countrycode,Countryname Sp,Date,Indicator Sp,Series,Upi,Circa,count,Country,Number of Records,Rate
"Atkinson, A(2)",Argentina (urban),2005,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,32,1,0.597659714
Gini coefficient (no zero income),Argentina (urban),2005,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,32,1,0.478201409
Gini coefficient,Argentina (urban),2006,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini,1,WB569452,9999,1,32,1,0.467095356
Rate 90/10,Argentina (urban),2006,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 90/10,1,WB569452,9999,1,32,1,10.621943253
Rate 75/25,Argentina (urban),2006,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 75/25,1,WB569452,9999,1,32,1,3.378614829
"Generalized entropy, GE(-1)",Argentina (urban),2006,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,32,1,0.786480049
"Mean log deviation, GE(0)",Argentina (urban),2006,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,32,1,0.412322776
"Theil index, GE(1)",Argentina (urban),2006,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,32,1,0.411421715
"Generalized entropy, GE(2)",Argentina (urban),2006,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,32,1,1.502971021
"Atkinson, A(0.5)",Argentina (urban),2006,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,32,1,0.181933958
"Atkinson, A(1)",Argentina (urban),2006,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,32,1,0.337889472
"Atkinson, A(2)",Argentina (urban),2006,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,32,1,0.611342593
Gini coefficient (no zero income),Argentina (urban),2006,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,32,1,0.466108080
Gini coefficient,Argentina (urban),2007,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini,1,WB569452,9999,1,32,1,0.465832158
